username,repositname,repourl,stars
public-apis,public-apis,https://github.com/public-apis/public-apis,124000
httpie,httpie,https://github.com/httpie/httpie,50700
neovim,neovim,https://github.com/neovim/neovim,43700
strapi,strapi,https://github.com/strapi/strapi,36500
slatedocs,slate,https://github.com/slatedocs/slate,32500
tiangolo,fastapi,https://github.com/tiangolo/fastapi,31000
hoppscotch,hoppscotch,https://github.com/hoppscotch/hoppscotch,29000
littlecodersh,ItChat,https://github.com/littlecodersh/ItChat,21400
encode,django-rest-framework,https://github.com/encode/django-rest-framework,21000
YMFE,yapi,https://github.com/YMFE/yapi,20900
paularmstrong,normalizr,https://github.com/paularmstrong/normalizr,20100
Binaryify,NeteaseCloudMusicApi,https://github.com/Binaryify/NeteaseCloudMusicApi,19900
FallibleInc,security-guide-for-developers,https://github.com/FallibleInc/security-guide-for-developers,19700
ccxt,ccxt,https://github.com/ccxt/ccxt,19400
microsoft,api-guidelines,https://github.com/microsoft/api-guidelines,17100
Kong,insomnia,https://github.com/Kong/insomnia,16300
shieldfy,API-Security-Checklist,https://github.com/shieldfy/API-Security-Checklist,15600
learn-anything,learn-anything,https://github.com/learn-anything/learn-anything,13000
youfou,wxpy,https://github.com/youfou/wxpy,12700
BrainJS,brain.js,https://github.com/BrainJS/brain.js,12000
jsdoc,jsdoc,https://github.com/jsdoc/jsdoc,11900
directus,directus,https://github.com/directus/directus,10900
ChainSafe,web3.js,https://github.com/ChainSafe/web3.js,10300
graphile,postgraphile,https://github.com/graphile/postgraphile,10300
postmanlabs,httpbin,https://github.com/postmanlabs/httpbin,9800
go-chi,chi,https://github.com/go-chi/chi,9400
ruby-grape,grape,https://github.com/ruby-grape/grape,9300
star7th,showdoc,https://github.com/star7th/showdoc,8900
zealdocs,zeal,https://github.com/zealdocs/zeal,8800
lihengming,spring-boot-api-project-seed,https://github.com/lihengming/spring-boot-api-project-seed,8700
